transaction_id,account_id,amount,transaction_date,transaction_type,merchant_name,category,description
TXN0032,ACC016,300.00,2024-01-09 15:00:00,CREDIT,Internal Transfer,TRANSFER,Savings transfer
TXN0033,ACC017,145.00,2024-01-08 12:00:00,DEBIT,Whole Foods,GROCERY,Organic groceries
TXN0034,ACC017,2600.00,2024-01-10 08:00:00,CREDIT,Finance Corp,SALARY,Monthly salary
TXN0035,ACC018,62.00,2024-01-05 16:30:00,DEBIT,Spotify,ENTERTAINMENT,Premium subscription
TXN0036,ACC018,1900.00,2024-01-12 09:00:00,CREDIT,Marketing Agency,SALARY,Payroll deposit
TXN0037,ACC019,88.00,2024-01-03 10:00:00,DEBIT,CVS Pharmacy,HEALTH,Prescriptions
TXN0038,ACC019,2700.00,2024-01-07 08:30:00,CREDIT,Energy Corp,SALARY,Salary payment
TXN0039,ACC020,400.00,2024-01-11 14:00:00,CREDIT,Internal Transfer,TRANSFER,Monthly savings
TXN0040,ACC021,310.00,2024-01-04 09:15:00,DEBIT,Nordstrom,SHOPPING,Clothing
TXN0041,ACC021,5000.00,2024-01-01 08:00:00,CREDIT,Law Firm Partners,SALARY,Partner distribution
TXN0042,ACC021,800.00,2024-01-13 11:30:00,TRANSFER,Internal Transfer,TRANSFER,To savings
TXN0043,ACC022,800.00,2024-01-13 11:30:00,CREDIT,Internal Transfer,TRANSFER,From checking
TXN0044,ACC023,47.00,2024-01-07 14:45:00,DEBIT,Chipotle,FOOD,Lunch
TXN0045,ACC023,2100.00,2024-01-10 09:00:00,CREDIT,Healthcare Inc,SALARY,Bi-weekly salary
TXN0046,ACC001,28.50,2024-02-02 11:30:00,DEBIT,Dunkin Donuts,FOOD,Breakfast
TXN0047,ACC001,1200.00,2024-02-10 09:00:00,CREDIT,Employer Inc,SALARY,Monthly salary deposit
TXN0048,ACC001,120.00,2024-02-14 16:00:00,DEBIT,Restaurant,FOOD,Valentines dinner
TXN0049,ACC003,2500.00,2024-02-05 08:30:00,CREDIT,Client Corp,SALARY,Payroll deposit
TXN0050,ACC003,350.00,2024-02-08 10:00:00,DEBIT,REI,SHOPPING,Outdoor gear
TXN0051,ACC007,3200.00,2024-02-01 08:00:00,CREDIT,ABC Company,SALARY,Monthly salary
TXN0052,ACC007,95.50,2024-02-05 13:00:00,DEBIT,Safeway,GROCERY,Weekly groceries
TXN0053,ACC012,3500.00,2024-02-01 09:00:00,CREDIT,Consulting Firm,SALARY,Monthly payment
TXN0054,ACC012,75.00,2024-02-06 15:30:00,DEBIT,AMC Theaters,ENTERTAINMENT,Movie night
TXN0055,ACC017,2600.00,2024-02-10 08:00:00,CREDIT,Finance Corp,SALARY,Monthly salary
TXN0056,ACC017,185.00,2024-02-12 11:45:00,DEBIT,Pottery Barn,HOME,Home decor
